"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"2491",2,1,1,1,1,1,3,1,1,1,1,NA,3,2,1,1,1,1,1,3,NA,1,1,1,3,2,1,2,1,3,3,1,2,1,1,1,1,1,1,NA,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,1,1,1,3,2,1,1,2,1,3,1,1,1,1
"2492",1,1,2,1,1,1,1,2,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,1,NA,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,3,1,1
"2497",2,1,1,1,1,1,3,1,1,1,1,NA,3,2,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
"2504",1,1,3,2,1,1,1,3,1,1,1,NA,1,1,3,NA,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,3,1,1,2,NA,3,1,3,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,1,3,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,1,3,1,1
"2510",1,1,3,2,1,1,1,2,1,1,1,NA,1,1,3,1,1,1,NA,1,1,2,1,1,1,2,3,1,2,1,1,2,1,1,2,NA,3,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,3,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,1,3,1,1
"2526",1,2,3,2,2,1,1,3,2,1,2,NA,1,1,3,3,1,2,3,1,1,3,2,1,1,3,3,1,1,1,1,3,1,1,3,3,3,2,3,1,1,1,1,3,1,1,1,2,2,3,3,1,3,1,NA,3,2,2,1,3,1,2,2,1,1,3,1,1,2,NA,2,3,1,2,3,2,1
"2563",2,2,1,1,1,1,3,1,1,1,2,NA,3,2,1,2,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,2,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,2,1,1,3,2,1,1,1,1,3,1,1,2,1
"2610",1,NA,1,1,2,3,1,1,NA,1,3,NA,1,1,1,3,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,1,NA,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,3,2,3,2,3,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,3,3,NA,1
"2641",2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,NA,1,1,1,3,2,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,1,1,1,3,2,1,1,2,1,3,1,1,1,1
"2645",2,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
